number,state
8392000722,SC
8392000720,SC
8392000719,SC
8392000717,SC
8392000713,SC
8392000711,SC
8392000702,SC
8392000701,SC
8392000699,SC
8392000697,SC
8392000692,SC
8392000689,SC
8392000686,SC
8392000685,SC
8392000684,SC
8392000682,SC
8392000681,SC
8392000680,SC
8392000679,SC
8392000670,SC
8392000668,SC
8392000667,SC
8392000628,SC
8392000623,SC
8392000617,SC
8392000587,SC
8392000580,SC
8392000577,SC
8392000570,SC
8392000566,SC
8392000559,SC
8392000552,SC
8392000551,SC
8392000549,SC
8392000546,SC
5513368921,NJ
5513368918,NJ
5513368893,NJ
5513368873,NJ
5513368860,NJ
5513368821,NJ
5513368813,NJ
5513368810,NJ
5513368804,NJ
5513368797,NJ
5513368771,NJ
5513368763,NJ
4236444347,TN
4236444345,TN
4236444344,TN
4236444342,TN
4236444341,TN
4236444340,TN
4236444339,TN
4236444338,TN
4236444336,TN
4236444332,TN
4236444330,TN
4236444326,TN
4236444325,TN
4236444323,TN
4236444322,TN
4236444320,TN
4236444318,TN
4236444317,TN
4236444315,TN
4236444314,TN
4236444313,TN
4236444312,TN
4236444311,TN
4236444307,TN
4236444306,TN
4236444305,TN
4236444304,TN
4236444302,TN
4236444301,TN
4236444299,TN
4236444298,TN
4236444297,TN
4236444296,TN
4236444295,TN
4236444294,TN
4236444293,TN
4236444292,TN
4236444290,TN
4236444288,TN
4236444286,TN
2762224628,VA
2762224624,VA
2762224622,VA
2762224617,VA
2762224616,VA
2762224615,VA
2762224614,VA
2762224613,VA
2762224610,VA
2762224606,VA
2762224602,VA
2762224601,VA
2762224597,VA
2762224596,VA
2762224595,VA
2762224593,VA
2762224590,VA
2762224587,VA
2762224585,VA
2762224584,VA
2762224581,VA
2762224579,VA
2762224573,VA
2762224572,VA
2513567175,AL
2513567170,AL
2513567146,AL
2513567144,AL
2513567138,AL
2513567092,AL
2513567076,AL
2513567058,AL
2513567039,AL
2513469994,AL
2513469961,AL
2513469947,AL
2513469924,AL
2513469914,AL
2513469912,AL
2513469876,AL
2513469852,AL
2513469815,AL
2513469807,AL
2513469787,AL
2513469780,AL
2513469762,AL
2513469748,AL
2513469727,AL
2513469690,AL
2513469680,AL
2513469645,AL
2513469629,AL
2513469597,AL
2513469541,AL
2513469520,AL
2513469518,AL
2513469489,AL
2513469474,AL
2513469473,AL
2513469461,AL
2513469451,AL
2513469410,AL
2402404503,MD
2402404494,MD
2402404485,MD
2402404484,MD
2316006582,MI
2316006570,MI
2316006568,MI
2316006566,MI
2316006540,MI
2316006528,MI
2316006522,MI
2316006512,MI
2316006510,MI
2316006508,MI
2316006495,MI
2316006493,MI
2316006480,MI
2316006477,MI
2316006412,MI
2316006394,MI
2316006355,MI
2316006351,MI
2316006337,MI
2316006335,MI
2316006326,MI
2316006316,MI
2316006306,MI
2282777513,MS
2282777512,MS
2282777508,MS
2282777507,MS
2282777505,MS
2282777504,MS
2282777503,MS
2282777502,MS
2282777501,MS
2282777499,MS
2282777497,MS
2282777491,MS
2282777480,MS
2282777459,MS
2282777458,MS
2282777457,MS
2243462358,IL
2243462357,IL
2243462356,IL
2243462355,IL
2243462354,IL
2243462353,IL
2243462351,IL
2243462350,IL
2243462348,IL
2243462347,IL
2243462344,IL
2243462343,IL
2243462342,IL
2243462341,IL
2243462340,IL
2243462339,IL
2243462338,IL
2243462337,IL
2243462335,IL
2243462329,IL
2243462328,IL
2243462327,IL
2243462326,IL
2232331247,PA
2232331244,PA
2232331235,PA
2232331231,PA
2232331225,PA
2232331201,PA
2232331082,PA
2232331081,PA
2232331080,PA
2232331079,PA
2232331078,PA
2232331077,PA
2232331076,PA
2232331075,PA
2232331074,PA
2232331073,PA
2232331072,PA
2166777926,OH
2166777914,OH
2166777911,OH
2166777894,OH
2166777866,OH
2166777845,OH
2166777839,OH
2166777836,OH
2166777813,OH
2166777780,OH
2166777764,OH
2166777736,OH
2166777718,OH
2166777713,OH
2166777703,OH
2166777683,OH
2166777677,OH
2166777673,OH
2166777661,OH
2166777632,OH
2166777616,OH
2166777611,OH
2166777602,OH
2166777588,OH
2166777566,OH
2166777559,OH
2166777539,OH
2166777518,OH
2166777492,OH
2166777487,OH
2166777459,OH
2166777419,OH
