address,npa,batch
+12067586569,206,live-since-aug22
+12076000170,207,live-since-aug22
+12076000214,207,live-since-aug22
+12077888455,207,live-since-aug22
+12078008991,207,live-since-aug22
+12078555847,207,live-since-aug22
+12139988849,213,live-since-aug22
+12142543844,214,live-since-aug22
+12142543864,214,live-since-aug22
+12142543874,214,live-since-aug22
+12142543879,214,live-since-aug22
+12142543881,214,live-since-aug22
+12142543882,214,live-since-aug22
+12169463187,216,live-since-aug22
+12169463566,216,live-since-aug22
+12169463785,216,live-since-aug22
+12169463958,216,live-since-aug22
+12169463970,216,live-since-aug22
+12169666037,216,live-since-aug22
+12169666471,216,live-since-aug22
+12169666503,216,live-since-aug22
+12169666570,216,live-since-aug22
+12169666609,216,live-since-aug22
+12169666691,216,live-since-aug22
+12169666897,216,live-since-aug22
+12189888682,218,live-since-aug22
+12195678102,219,live-since-aug22
+12197325002,219,live-since-aug22
+12202200560,220,live-since-aug22
+12205777127,220,live-since-aug22
+12206006753,220,live-since-aug22
+12232331121,223,live-since-aug22
+12232331126,223,live-since-aug22
+12232331130,223,live-since-aug22
+12232331131,223,live-since-aug22
+12233000053,223,live-since-aug22
+12233000059,223,live-since-aug22
+12233000081,223,live-since-aug22
+12233000468,223,live-since-aug22
+12233000493,223,live-since-aug22
+12233000516,223,live-since-aug22
+12233000561,223,live-since-aug22
+12233000586,223,live-since-aug22
+12233000651,223,live-since-aug22
+12233000675,223,live-since-aug22
+12233000677,223,live-since-aug22
+12233000796,223,live-since-aug22
+12233003916,223,live-since-aug22
+12236666220,223,live-since-aug22
+12248666492,224,live-since-aug22
+12249666972,224,live-since-aug22
+12283368648,228,live-since-aug22
+12283368649,228,live-since-aug22
+12283368650,228,live-since-aug22
+12283368651,228,live-since-aug22
+12294777905,229,live-since-aug22
+12294777907,229,live-since-aug22
+12294777915,229,live-since-aug22
+12294777920,229,live-since-aug22
+12294777922,229,live-since-aug22
+12297444721,229,live-since-aug22
+12297444739,229,live-since-aug22
+12297444751,229,live-since-aug22
+12297444760,229,live-since-aug22
+12297444891,229,live-since-aug22
+12297444965,229,live-since-aug22
+12298555107,229,live-since-aug22
+12298555121,229,live-since-aug22
+12298555302,229,live-since-aug22
+12344658992,234,live-since-aug22
+12345666452,234,live-since-aug22
+12346888423,234,live-since-aug22
+12394222735,239,live-since-aug22
+12394222741,239,live-since-aug22
+12394222743,239,live-since-aug22
+12397888274,239,live-since-aug22
+12397888361,239,live-since-aug22
+12397888378,239,live-since-aug22
+12397888395,239,live-since-aug22
+12397888511,239,live-since-aug22
+12397888535,239,live-since-aug22
+12397888606,239,live-since-aug22
+12397888615,239,live-since-aug22
+12397888632,239,live-since-aug22
+12399777903,239,live-since-aug22
+12399777931,239,live-since-aug22
+12399777936,239,live-since-aug22
+12515299431,251,live-since-aug22
+12515299503,251,live-since-aug22
+12515299673,251,live-since-aug22
+12516000538,251,live-since-aug22
+12516000790,251,live-since-aug22
+12516000902,251,live-since-aug22
+12528425149,252,book207-new
+12528425172,252,book207-new
+12528425181,252,book207-new
+12528425186,252,book207-new
+12528425197,252,book207-new
+12528425250,252,book207-new
+12528425257,252,book207-new
+12528425262,252,book207-new
+12528425313,252,book207-new
+12528425321,252,book207-new
+12528425409,252,book207-new
+12528425417,252,book207-new
+12528425436,252,book207-new
+12528425529,252,book207-new
+12528425572,252,book207-new
+12528425591,252,book207-new
+12528425603,252,book207-new
+12528425620,252,book207-new
